视频标题,视频链接,当前视频所在网页链接
诚信经营，依法维权,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2978515074450432/2975850268853248,https://dyjy.dtdjzx.gov.cn/course/special/subject/2975850268853248
18万元“升级”一次,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2978515861685248/2975850268853248,https://dyjy.dtdjzx.gov.cn/course/special/subject/2975850268853248
重温经典——电影《南征北战》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508885333443584/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《李双双》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508891535442944/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《青春之歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510206920033280/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《三进山城》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510202612515840/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《永不消逝的电波》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508939485168640/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《苦菜花》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508937230058496/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《林海雪原》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508899403301888/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《烈火中永生》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508931888940032/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《洪湖赤卫队》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508925563470848/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《鸡毛信》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508896210961408/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《地道战》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508934540624896/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《闪闪的红星》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510210807464960/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《狼牙山五壮士》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510213975114752/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《冰山上的来客》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2501857310950400/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《党的女儿》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2501852659745792/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《红日》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2501848604279808/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《山间铃响马帮来》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2501841525556224/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《白毛女》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2501834920903680/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《地雷战》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2501830697747456/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《平原游击队》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510230884811776/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《小兵张嘎》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510226238833664/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《老兵新传》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508837342626816/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《草原上的人们》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508854570157056/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《霓虹灯下的哨兵》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508868750803968/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
重温经典——电影《南征北战》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2508885333443584/98,https://dyjy.dtdjzx.gov.cn/course/special/subject/98
伟大的道路 第一集 序幕：伟大复兴的第一步（1921-1923）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538374549144576/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第二集 洪流：轰轰烈烈的大革命（1924-1927）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538371353674752/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第三集 风暴：开创农村革命根据地（1927-1937）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538312621474816/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第四集 砥柱：抗日战争的中坚力量（1937-1945）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538310120768512/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第五集 解放：为了新中国而战斗（1946-1949）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538307214984192/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第六集 开国：中华民族的新纪元（1949-1956）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538304872612864/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第七集 探索：在曲折中前进（1957-1977）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538299656274944/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第八集 转折：走改革开放之路（1978-1991）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538291357778944/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第九集 跨越：建设社会主义市场经济（1992-2002）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538280661550080/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
伟大的道路 第十集 复兴：缔造中国的辉煌未来（2002-2011）,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2538191938716672/63,https://dyjy.dtdjzx.gov.cn/course/special/subject/63
重温经典——歌曲《太阳最红 毛主席最亲》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518742226404352/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《毛委员和我们在一起》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510347465704448/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《洗衣歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511716599940096/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《阿佤人民唱新歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511721517597696/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《草原之夜》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511724280775680/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《谁不说俺家乡好》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511728364110848/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《游击队之歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511745938621440/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《九九艳阳天》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511751434716160/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《弹起我心爱的土琵琶》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511755739186176/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《学习雷锋好榜样》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511758872347648/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《情深谊长》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511760741254144/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《春天的故事》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2511762568217600/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《沂蒙山小调》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518697122464768/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《翻身农奴把歌唱》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518805431174144/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《东方红》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518834807686144/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《三大纪律八项注意》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518828503499776/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《没有共产党就没有新中国》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518822740853760/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《团结就是力量》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518817055360000/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《红梅赞》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518809999131648/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《我的祖国》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518795702322176/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《唱支山歌给党听》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518784695616512/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《我为伟大祖国站岗》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518769621337088/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《草原上升起不落的太阳》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510248974287872/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《南泥湾》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518837770781696/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《延安颂》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518841410798592/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《娘子军连歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518843570488320/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《红军不怕远征难》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2518845919986688/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《歌唱祖国》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2520265378415616/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《跟着共产党走》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2520264118191104/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《国际歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2520262279627776/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《义勇军进行曲》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2520260730291200/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《十送红军》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510264379900928/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《在太行山上》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510295895852032/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《八月桂花遍地开》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510300512568320/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《珊瑚颂》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510306980905984/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《请茶歌》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510311131415552/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《山丹丹开花红艳艳》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510260160283648/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《保卫黄河》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510289319003136/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《我们的生活充满阳光》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510272717652992/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《爱我中华》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510280335115264/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《苏区干部好作风》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510338093679616/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《拥军花鼓》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510332220539904/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《赶圩归来啊哩哩》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510328812094464/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
重温经典——歌曲《北京的金山上》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2510345994945536/96,https://dyjy.dtdjzx.gov.cn/course/special/subject/96
《红色传奇》主题歌2《记住你》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749071030273024/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第八集 黄姚往事,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749025285211136/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第九集 人间正道,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749023400936448/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第十集 忠诚之歌,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749019217953792/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第四集 不屈战魂,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749035475387392/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第五集 大山作证,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749033905128448/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第六集 热血征程,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749032053163008/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第七集 八桂英豪,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749027651273728/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第二集 寻找光明,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749038472463360/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第三集 壮士归来,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749037629293568/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《红色传奇》第二季 第一集 浴血斜阳,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2749040618685440/50,https://dyjy.dtdjzx.gov.cn/course/special/subject/50
《准则大家学》第十二集：加强对权力运行的制约和监督,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460670066000896/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第十三集：保持清正廉洁的政治本色,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460668353348608/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第十一集：开展批评和自我批评,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460675754296320/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第五集：严明党的政治纪律,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460689844110336/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第六集：保持党同人民群众的血肉联系,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460688318923776/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第八集：发扬党内民主和保障党员权利,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460684614435840/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第九集：坚持正确选人用人导向,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460682389537792/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第十集：严格党的组织生活制度,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460679851164672/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第七集：坚持民主集中制原则,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460686374749184/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第三集：坚持党的基本路线,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460712288306176/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第四集：坚决维护党中央权威,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460710783960064/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第一集：总论,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460714484696064/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《准则大家学》第二集：坚定理想信念,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2460713401451520/26,https://dyjy.dtdjzx.gov.cn/course/special/subject/26
《中国共产党纪律处分条例》教育专题片：政治纪律篇,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2646233237947392/24,https://dyjy.dtdjzx.gov.cn/course/special/subject/24
《中国共产党纪律处分条例》教育专题片：组织纪律篇,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2646230516646912/24,https://dyjy.dtdjzx.gov.cn/course/special/subject/24
《中国共产党纪律处分条例》教育专题片：廉洁纪律篇,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2646227542410240/24,https://dyjy.dtdjzx.gov.cn/course/special/subject/24
《中国共产党纪律处分条例》教育专题片：群众纪律篇,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2646224573842432/24,https://dyjy.dtdjzx.gov.cn/course/special/subject/24
《中国共产党纪律处分条例》教育专题片：工作纪律篇,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2646221577585664/24,https://dyjy.dtdjzx.gov.cn/course/special/subject/24
《中国共产党纪律处分条例》教育专题片：生活纪律篇,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2646217832154112/24,https://dyjy.dtdjzx.gov.cn/course/special/subject/24
“两学一做”学习教育系列之深刻领会习主席关于党和法高度统一关系的重要论述03,https://dyjy.dtdjzx.gov.cn/resourcedetailed/216/33,https://dyjy.dtdjzx.gov.cn/course/special/subject/33
“两学一做”学习教育系列之深刻领会习主席关于党和法高度统一关系的重要论述01,https://dyjy.dtdjzx.gov.cn/resourcedetailed/160/33,https://dyjy.dtdjzx.gov.cn/course/special/subject/33
“两学一做”学习教育系列之深刻领会习主席关于党和法高度统一关系的重要论述02,https://dyjy.dtdjzx.gov.cn/resourcedetailed/215/33,https://dyjy.dtdjzx.gov.cn/course/special/subject/33
美丽小村——嘉祥县老僧堂镇兰垓村第一书记张克霞,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2956212830110720/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
在执着和无悔中绽放精彩 ——记“全省优秀检察官”、嘉祥县人民检察院李传珍,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2954408694367232/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 周元龙：为了心中的那份责任,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949051806893056/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 刘奉田：群众动嘴我跑腿,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949058888729600/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 李强：生态建设排头兵,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949065586426880/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 蔡广征：妙手仁心惠乡里,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949046444557312/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 郭昊：为留守儿童留下幸福记忆,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949043737347072/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 冯保良：宁愿一人脏 换来万家洁,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949056115475456/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
我是党员系列 孙海芝：“蔬菜书记”的富民梦,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2949061531124736/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之急诊室的男护士赵建文,https://dyjy.dtdjzx.gov.cn/resourcedetailed/374/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之金乡好人赵福运,https://dyjy.dtdjzx.gov.cn/resourcedetailed/377/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之航拍人生李思远,https://dyjy.dtdjzx.gov.cn/resourcedetailed/376/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之物理教具“发明家”周岩,https://dyjy.dtdjzx.gov.cn/resourcedetailed/375/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之“板房”书记于珠明,https://dyjy.dtdjzx.gov.cn/resourcedetailed/370/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之第一书记王加革,https://dyjy.dtdjzx.gov.cn/resourcedetailed/371/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《我是党员》系列节目之国学传播者郑丽媛,https://dyjy.dtdjzx.gov.cn/resourcedetailed/372/11,https://dyjy.dtdjzx.gov.cn/course/special/subject/11
《信仰的力量—永不褪色的记忆》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2688216289215488/12,https://dyjy.dtdjzx.gov.cn/course/special/subject/12
《信仰的力量—退伍老兵的为民情怀》,https://dyjy.dtdjzx.gov.cn/resourcedetailed/2688225607877632/12,https://dyjy.dtdjzx.gov.cn/course/special/subject/12
