方名,规范名,经典,出处,功用大类,功用小类,处方,炮制,功用,主治,方解,禁忌,化裁,附方,附注,文献,运用,用法用量,备注,ID
阿胶甘草犁膏汤,,,《温热经解》,,,阿胶3钱，甘草3钱（炙），梨膏5钱（冲）。,,,温疫肺虚咳嗽。,,,,,,,,,,https://db.yaozh.com/fangji/10001012.html
阿胶膏,,,《圣惠》卷六,,,阿胶3两（捣碎，炒令黄燥，捣末），白羊肾3对（去筋膜，切，细研），杏仁3两（汤浸，去皮尖双仁，麸炒微黄，研如膏），薯蓣2两（捣为末），薤白1握，（细切），黄牛酥4两，羊肾脂4两（煮去滓）。,上药相和，于瓷瓶内贮之，蒸半日，令药成膏。,,肺气喘急，下焦虚伤。,,,,,,,,,,https://db.yaozh.com/fangji/10001013.html
阿胶黄连汤,,,《重订通俗伤寒论》,,,陈阿胶4.5克（烊冲），生白芍6克，小川连1.8克（蜜炙），鲜生地18克，青子芩3克，鸡子黄1枚（先煎代水）。,,,伤寒邪传少阴，水为火烁，心烦不寐，肌肤枯燥，神气衰弱，咽干溺短，舌红尖绛，脉左细数，按之搏指，右脉反大而虚软者。,,,,,,,,,,https://db.yaozh.com/fangji/10001014.html
阿胶黄连饮,黄连阿胶汤,,《胎产心法》卷上,,,阿胶、黄连、芍药、甘草、枳壳（麸炒）。,,,孕妇痢疾，若安胎则痢愈重，治痢则胎难全，宜服此饮。,,,,,,,,,,https://db.yaozh.com/fangji/10001015.html
阿胶黄芩汤,,,《重订通俗伤寒论》,,,陈阿胶，青子芩各9克，甜杏仁，生桑皮各6克，生白芍3克，生甘草2.4克，鲜车前草，甘蔗梢各15克。,,,秋燥。肺燥肠热，上则喉痒干咳，咳甚则痰粘带血，血色鲜红，胸胁串痰；下则腹热如焚，大便水泄如注，肛门热痛，甚或腹痛泄泻，泻必艰涩难行，似痢非痢，肠中切痛，有似鞭梗，按之痛甚，舌苔干燥起刺，兼有裂纹。,,,,,,,,,,https://db.yaozh.com/fangji/10001016.html
阿胶鸡蛋汤,,,《民间方》,,,阿胶10克，鸡蛋1个，食盐适量。,阿胶用水1碗烊化，鸡蛋调匀后加入阿胶水中煮成蛋花即成。,,补血，滋阴，安胎。适用于阴血不足所致的胎动不安、烦躁等。,,,,,,,,,,https://db.yaozh.com/fangji/10001017.html
阿胶鸡子黄汤,,,《重订通俗伤寒论》,,,陈阿胶6克（烊冲），生白芍9克，石决明15克（杵），双钩藤6克，大生地12克，清炙草1.8克，生牡蛎12克（杵），络石藤9克，茯神木12克，鸡子黄2枚（先煎代水）。,,,,,,,,,,,,,https://db.yaozh.com/fangji/10001018.html
阿胶鸡子黄汤,,,《湿温时疫治疗法》引沈樾亭方,,,真阿胶1钱半，左牡蛎5钱，大生地4钱，生白芍3钱，女贞子3钱，黄甘菊2钱，鸡子黄1枚，童便1钟。,,,滋阴液以镇肝阳。主治急性时疫。,,,,,,,,,,https://db.yaozh.com/fangji/10001019.html
阿胶济阴汤,,,《胎产秘书》卷上,,,阿胶，白术各3克，白芍，当归，川芎各3克，砂仁（带壳）1.5克，条芩，蕲艾各4.5克，香附2.4克，炙甘草1.5克，粘米1捏。,,,妊娠伤胎，致令子宫虚滑，经血淋漓者。,,,,,,,,,,https://db.yaozh.com/fangji/10001020.html
阿胶煎,,,《圣惠》卷四十六,,,阿胶2两（捣碎，炒令黄燥），薯蓣1两，白茯苓1两，天门冬1两半（去心，焙），贝母1两（煨微黄），酥1两，生地黄汁1升，生姜汁1合，白蜜2合，杏仁1两（汤浸，去皮尖双仁，麸炒微黄，研如膏）。,,,久咳嗽，唾脓血。,,,,,,,,,,https://db.yaozh.com/fangji/10001021.html
阿胶煎丸,,,《幼幼新书》卷一引《灵苑方》,,,伏道艾（取叶去梗，捣熟，筛去粗皮，只取艾茸，称取2两，米醋煮1伏时，候干研成膏），阿胶3两（炙），糯米（炒）1两，大附子（炮，去皮脐）1两，枳壳（去瓤，麸炒）1两。,上为末，入煎膏内杵匀为丸，如梧桐子大。,,大补益虚损不足，滋助血海。主治妇人血气久虚，孕胎不成。,,忌藻菜、羊血、腥臊等物。,,,,,,,,https://db.yaozh.com/fangji/10001022.html
阿胶酒,阿胶汤,,方出《证类本草》卷十六引《梅师方》，名见《普济方》卷三四四引《圣惠》,,,阿胶3两（炙）。,上为末。,,孕妇血痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001023.html
阿胶麻仁汤,,,《四圣心源》卷六,,,生地3钱，当归3钱，阿胶3钱（研），麻仁3钱（研）。,,,阳盛土燥，大便坚硬者。,,,,,,,,,,https://db.yaozh.com/fangji/10001024.html
阿胶梅连丸,,,《宜明论方》卷十,,,金井阿胶（净草灰炒透明白，别研，不细者再炒，研细）乌梅肉（去核，炒）黄柏（锉，炒）黄连 当归（焙）赤芍药 干姜（炮）赤茯苓各15克。,,,阴虚下痢五色，腹痛，至夜发热。,,服药期间，忌食油腻。,,,,,,,,https://db.yaozh.com/fangji/10001025.html
阿胶梅连丸,阿胶黄连丸,,《宣明论》卷十,,,金井阿胶（净草灰炒透明白，别研，不细者，再炒，研细）半两，乌梅肉（去核，炒）半两，黄柏（锉，炒）半两，黄连半两，当归（焙）半两，赤芍药半两，干姜（炮）半两，赤茯苓半两。,上为末，入阿胶研匀，水为丸，如梧桐子大。,,五色痢至夜蒸热，脉虚沉数者。,,忌油腻脂肥诸物。,,,,,,,,https://db.yaozh.com/fangji/10001026.html
阿胶棋子,,,《圣济总录》卷一八九,,,阿胶（炙燥，为末）1两，干姜（炮裂，为末）半两，薤白（煮烂，细研）7茎。,,,泄痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001027.html
阿胶散,,,《太平圣惠方》卷七十五,,,阿胶23克（捣碎，炒令黄燥），白茯苓23克，白术23克，当归甘草7.5克（炙微赤，锉）。,,,妊娠胎动，腹中疠痛，不思饮食。,,,,,,,,,,https://db.yaozh.com/fangji/10001028.html
阿胶散,补肺散（（小儿药证直诀》卷下）、补肺阿胶散（《医方集解》）。,,《小儿药证直诀》卷下,,,阿胶45克（麸炒），鼠粘子（炒香），甘草（炙）各7.5克， 马兜铃15克（焙），杏仁7个（去皮、尖，炒），糯米30克（炒）。,上为末。,,养阴清肺，止咳平喘。小儿肺虚有火，咳嗽气喘，咽喉干燥，咯痰不爽，或痰中带血，舌红少苔，脉浮细数。,,,,,,,,,,https://db.yaozh.com/fangji/10001029.html
阿胶散,,,《三因极一病证方论》卷十三,,,阿胶（麸炒），马兜铃各30克，五灵脂（研），桑白皮各15克，甘草（炙）7.5克。,上药研末。,,虚人老人一切咳嗽。,,,,,,,,,,https://db.yaozh.com/fangji/10001030.html
阿胶散,,,《妇人大全良方》卷十二,,,熟地黄60克，白芍药，艾叶，当归，甘草，阿胶，黄耆各30克（一方有川芎）。,上药哎咀。,,妊娠不问月数深浅，或因跌仆，或因毒药，胎动不安，腰痛腹满；或胎漏下血，短气乏力者。,,,,,,,,,,https://db.yaozh.com/fangji/10001031.html
阿胶散,,,《医学心悟》卷三,,,阿胶（水化开，冲服）3克 丹参 生地各6克 黑山栀 丹参 血余（即乱发烧灰，存性）麦冬 当归各2.4克,,,心移热于膀胱，迫血妄行，致患尿血，脉数，舌赤者。,,,,,,,,,,https://db.yaozh.com/fangji/10001032.html
阿胶散,,,《准绳?女科》卷四,,,甘草2钱半，白茯苓7钱半（炒），白术7钱半（炒），川芎7钱半（炒），阿胶7钱半（炒），当归（炒）1两，陈皮1两。,,,,,,,,,,,,,https://db.yaozh.com/fangji/10001033.html
阿胶散,,,《直指小儿》卷一,,,透明阿胶（炒）2钱半，紫苏2钱。,上为末。,,小儿风热涎潮，喘促，搐掣，窜视。,,,,,,,,,,https://db.yaozh.com/fangji/10001034.html
阿胶散,,,《准绳?类方》卷七,,,阿胶1两半，马兜铃1两半，紫菀1两，款冬花1两，甘草半两，白蒺藜2钱半（炒），糯米1两。,,,肝经受风冷，目有冷泪，流而不结者。,,,,,,,,,,https://db.yaozh.com/fangji/10001035.html
阿胶散,,,《医学入门》卷六,,,阿胶7分半，白茯苓2分半，马兜铃2分半，糯米2分半，杏仁10粒，甘草2分。,,,久嗽肺虚，气促有痰，恶心。,,,,,,,,,,https://db.yaozh.com/fangji/10001036.html
阿胶散,,,《普济方》卷五十九,,,阿胶（炒燥）1分，蒲黄1分，黄耆（锉细）1分。,上为细散。,,舌上血出不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001037.html
阿胶散,,,《施圆端效方》引李子良方（见《医方类聚》卷二一O）,,,阿胶（炒燥）半两，白龙骨半两，赤石脂半两，干姜（炮）半两。,上为细末。,,妇人血崩不止，赤白带下。,,,,,,,,,,https://db.yaozh.com/fangji/10001038.html
阿胶散,,,《圣惠》卷七十四,,,阿胶半两（捣碎，炒令黄燥），陈橘皮半两（汤浸去白瓤，焙），半夏赤芍药3分，麦门冬3分（去心）。,上为散。,,妊娠九月，伤寒烦热，或觉胎不稳，腹满悬急，腰疼不可转侧。,,,,,,,,,,https://db.yaozh.com/fangji/10001039.html
阿胶散,,,《普济方》卷三四二引《保婴方》,,,熟地黄（洗，焙干）半两，白芍药半两，川芎半两，黄耆（去皮）半两，阿胶（锉，炒成珠）半两，香附子（炒）半两，当归（去芦，酒洗，焙干）半两，艾叶（炒）半两，甘草（炙）半两。,,,妊娠不问月数浅深，或因倒仆所损，致令胎动不安，或胎气奔上，心腹疼痛，或胎下坠，腰脐疼痛，或时下血。,,,,,,,,,,https://db.yaozh.com/fangji/10001040.html
阿胶散,,,《圣惠》卷五十九,,,阿胶半两（捣碎，炒令黄燥），甘草半两（炙微赤，锉），附子1两（炮裂，去皮脐），黄连1两（去须，微炒），当归半两（锉，微炒）。,上为散。,,,,,,,,,,,,https://db.yaozh.com/fangji/10001041.html
阿胶散,阿胶汤,,《圣济总录》卷六十八,,,阿胶（炒令燥）1两，白及1两，白芷1两，白蔹1两，黄柏（去粗皮，蜜水浸，炙赤色）1两。,上为散。,,男子、妇人咯血吐血。,,忌生冷、油腻、湿面。,,,,,,,,https://db.yaozh.com/fangji/10001042.html
阿胶散子,,,《医方类聚》卷一三八引《四时纂要》,,,当归（锉碎，酒熬）、黄连（去毛，净洗）、诃子（煨，取肉）、阿胶（慢火炙令泡起即止）、甘草（浆水浸，炙之）各等分（上为细末），黄丹3两，白矾2两。,上二味相和，为细末，入瓶子内，以炭火断之，通炙良久，放冷即出，细并之，此药与前草药等，和合为散。,,痢疾；兼治一切疮。,,,,,,,,,,https://db.yaozh.com/fangji/10001043.html
阿胶芍药汤,四神散,,方出《圣惠》卷三十七，名见《圣济总录》卷九十七,,,赤芍药1两，阿胶（捣碎，炒令黄燥）1两，当归1两，甘草半两（炙微赤，锉）。,上为散。,,大便下血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001044.html
阿胶神曲煎,,,《鸡峰》卷十四,,,神曲6分，干姜6分，当归3分，白术3分，人参2分，阿胶2分，甘草1分。,上为细末，面糊为丸，如小豆大，以白面为衣。,,冷痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001045.html
阿胶四苓散,,,《医略六书》卷二十八,,,阿胶3两（蒲黄灰炒），茯苓1两半，白术1两半（炒），猪苓1两半，泽泻1两半。,制为散。,,妊娠脾亏血热，扶湿热而血不归经，尿血不止，胎孕不安，脉弦涩者。,,,,,,,,,,https://db.yaozh.com/fangji/10001046.html
阿胶四物汤,,,《杂病源流犀烛》卷一,,,阿胶、川芎、当归、白芍、地黄。,,,血虚咳嗽。,,,,,,,,,,https://db.yaozh.com/fangji/10001047.html
阿胶汤,,,《圣济总录》卷九十六,,,阿胶（炙令燥，别捣末），人参各30克，干姜（炮）60克，远志（去心）120克，附子1枚（炮裂，去皮、脐），甘草（炙，锉）90克，大麻仁（烂研）175克。,上七味，粗捣筛五味，与麻仁拌匀。,,肾虚小便多。,,,,,,,,,,https://db.yaozh.com/fangji/10001048.html
阿胶汤,,,《鸡峰普济方》卷十,,,猪苓，茯苓，泽泻，滑石，阿胶各30克，车前子15克,上为粗末。,,血淋。心气留热，搏于小肠，血随小便出，每尿辄痛，心脉大散而数。,,,,,,,,,,https://db.yaozh.com/fangji/10001049.html
阿胶汤,,,《圣济总录》卷五十九,,,阿胶（炙燥）1两，干姜（炮）1两，远志（去心）4两，附子（炮裂，去皮脐）1两，人参1两，甘草（炙）3两，大麻仁（研）2两。,上(口父)咀，如麻豆大。,,消肾小便数。,,,,,,,,,,https://db.yaozh.com/fangji/10001050.html
阿胶汤,阿胶散,,《鸡峰》卷十,,,猪苓4分，茯苓4分，泽泻4分，滑石4分，阿胶4分，车前子2分。,上为粗末。,,血淋。,,,,,,,,,,https://db.yaozh.com/fangji/10001051.html
阿胶汤,,,《圣济总录》卷六十九,,,阿胶（炒令燥，捣末）1两，蒲黄半两。,上和匀。,,舌上出血不止，及鼻久衄不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001052.html
阿胶汤,,,《圣济总录》（人卫本）卷六十八,,,阿胶（炙燥）3两，艾叶（焙）3两，地榆4两，芍药4两，蓟根5两。,上为粗末。,,卒吐血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001053.html
阿胶汤,,,《圣济总录》卷六十五,,,阿胶（炒令燥）1两，桑根白皮（锉，炒）1两，甘草（炙，锉）1两，五灵脂（炒）半两，贝母（去心，炒）半两，知母（锉，焙）半两。,上为粗末。,,咳嗽。,,,,,,,,,,https://db.yaozh.com/fangji/10001054.html
阿胶汤,,,《医学集成》卷二,,,阿胶、玉竹、元参、麦冬、花粉、陈皮、百部、桔梗、甘草。,,,燥痰。,,,,,,,,,,https://db.yaozh.com/fangji/10001055.html
阿胶汤,,,《医方类聚》卷一四一引《烟霞圣效方》,,,真阿胶7片（于铁器内炮尽胶性）。,上为细末，都作一服。,,便血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001056.html
阿胶汤,,,《叶氏女科》卷三,,,阿胶2两（炒珠），赤小豆1钟。,,,难产。,,,,,,,,,,https://db.yaozh.com/fangji/10001057.html
阿胶汤,旋覆花汤,,《千金》卷二引《徐之才逐月养胎方》,,,阿胶4两，旋覆花2合，麦门冬1升，人参1两，吴茱萸7合，生姜6两，当归2两，芍药2两，甘草2两，黄芩2两。,,,妊娠五月，有热，苦头眩，心乱呕吐；有寒，苦腹满痛，小便数，卒有恐怖，四肢疼痛；寒热，胎动无常处，腹痛闷顿欲仆，卒有所下。,,忌海藻、菘菜。,,,,,,,,https://db.yaozh.com/fangji/10001058.html
阿胶汤,,,《外台》卷十七引《深师方》,,,阿胶2两，干姜2两，麻子1升（捣碎），远志4两（去心），附子1枚（炮），人参1两，甘草1两（炙）。,上切。,,虚劳，小便利而多。,,忌猪肉，冷水、海藻、菘菜。,,,,,,,,https://db.yaozh.com/fangji/10001059.html
阿胶汤,,,《千金翼》卷七,,,阿胶1两，当归1两，黄柏1两，黄连1两，陈廪米1升，蜡如棋子3枚。,,,产后下痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001060.html
阿胶汤,,,《医略六书》卷二十八,,,阿胶3钱（糯粉炒），人参1钱半，当归3钱，条芩1钱半（酒炒），白芍1钱半（酒炒），白术1钱半（炒），麦冬3钱（去心），生地5钱，炙草5分，苏梗3钱。,,,怀妊五月，胎动无常处，脉滑疾按之不散者。,,,,,,,,,,https://db.yaozh.com/fangji/10001061.html
阿胶汤,,,方出《千金》卷十八，名见《圣济总录》卷九十九,,,阿胶2两，当归2两，青葙子2两，艾叶1把。,,,脉痔，下部痒痛，生疮出血。,,,,,,,,,,https://db.yaozh.com/fangji/10001062.html
阿胶汤,,,《温氏经验良方》,,,阿胶1钱，当归1钱，寸冬1钱，党参1钱半，白芍2钱，甘草3分。,,,妊娠五月养胎。,,,,,,,,,,https://db.yaozh.com/fangji/10001063.html
阿胶汤,芎胶散,,《圣济总录》卷一五七,,,阿胶（炙令燥）1两，熟干地黄（焙）1两，艾叶（微炒）1两，芎1两，当归（切，焙）1两，杜仲（去皴皮，炙，锉）1两，白术1两。,上为粗末。,,妊娠数堕胎，小腹（疒丂）痛不可忍。,,忌猪肉，冷水、海藻、菘菜。,,,,,,,,https://db.yaozh.com/fangji/10001064.html
阿胶丸,,,《圣济总录》卷七十六,,,阿胶（炙燥）半两，枳壳（去瓤，麸炒）半两，诃黎勒（煨，去核）1两，甘草（炙，锉）1两，干姜（炮）1两，芍药（炮）1两，黄连（去须，炒）1两，木香（一半生一半炒）1两，当归（切，焙）1两半，地榆（锉）1两半。,上为末，用陈苦酒为丸，如梧桐子大。,,赤白痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001065.html
阿胶丸,,,《医略六书》卷三十,,,阿胶3两（蒲黄炒灰），丹参1两半（炒黑），川芎1两，鹿茸3两（炙灰），续断3两（炒灰），赤石腊3两（醋煅），龙骨3两（煅灰），当归3两，乌贼骨3两（煅）。,上为末，炼蜜为丸。,,产后崩漏不止，不能乳子，脉软者。,,,,,,,,,,https://db.yaozh.com/fangji/10001066.html
阿胶丸,,,《圣济总录》卷一六四,,,阿胶（炒令燥）1两，黄柏（去粗皮，锉）1两，人参1两，干姜（炮）1两，当归（切，炒）1两，酸石榴皮1两。,上为末，面糊为丸，如梧桐子大。,,产后泄泻，肠滑不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001067.html
阿胶丸,,,《圣济总录》卷一五六,,,阿胶（炒令燥）3两，白术5两，黄连（去须）1两，肉豆蔻仁1两。,上为末，炼蜜为丸，如梧桐子大。,,,,,,,,,,,,https://db.yaozh.com/fangji/10001068.html
阿胶丸,,,《圣济总录》卷八十八,,,阿胶（炙令燥）1两，熟干地黄（焙）1两，山芋1两，羚羊角（屑）半两，柏子仁（研）半两，茯神（去木）半两，地骨皮半两，五味子半两，百合半两，丹参3分，远志（去心）3分，麦门冬（去心，焙）3分，人参3分，蛤蚧（蜜炙）1对。,上为末，炼蜜为丸，如弹子大。,,虚劳咳嗽，发热羸瘦。,,,,,,,,,,https://db.yaozh.com/fangji/10001069.html
阿胶丸,,,《妇人大全良方》卷二十二,,,阿胶，赤石脂各45克，续断，川芎，当归，甘草，丹参各30克，龙骨，鹿茸（酥炙），乌贼骨，鳖甲（炙）各60克。,上为细末，炼蜜为丸，如梧桐子大。,,产后崩中，下血不止，虚羸无力。,,,,,,,,,,https://db.yaozh.com/fangji/10001070.html
阿胶丸,,,《普济方》卷三八七引《全婴方》,,,阿胶1两（糯米1合炒焦，不用米），甘草（炙）半两，蛤粉（炒）半两，汉防己半两，杏仁（去皮，麸炒）半两，款冬花半两，香白芷半两，马兜铃半两，干姜1两（1方有干葛，无干姜）。,上为末，炼蜜为丸，如鸡头子大。,,小儿久嗽，肺虚气粗，有痰，恶心不食。,,,,,,,,,,https://db.yaozh.com/fangji/10001071.html
阿胶丸,,,《全生指迷方》卷四,,,天门冬（去心）半两，桔梗半两，生干地黄（焙）半两，阿胶（锉，炒燥）半两，桑白皮（锉，炒）半两，麦冬（去心）半两，柏子仁（炒，研）半两，甘草（炙）1分。,上为末，炼蜜为丸，如弹子大。,,肺痿。,,,,,,,,,,https://db.yaozh.com/fangji/10001072.html
阿胶丸,,,《医方类聚》卷一一七引《神巧万全方》,,,阿胶（麸炒）1两，菊花1两，白术1两，紫菀1两，酸枣仁（炒）1两，麻黄（去节）1两，桑白皮1两，杏仁2两（去皮，炒，研如膏），甘草（炙）半两，款冬花半两。,上为末，炼蜜为丸，如梧桐子大。,,肝咳，睡卧不得。,,,,,,,,,,https://db.yaozh.com/fangji/10001073.html
阿胶丸,,,《圣惠》卷七十九,,,阿胶1两（捣碎，炒令黄燥），黄连1两（去须，微炒），干姜半两（炮裂，锉），木香3分，厚朴2两（去粗皮，涂生姜汁，炙令香熟）。,上为末，炼蜜为丸，如梧桐子大。,,产后痢下脓血，腹痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001074.html
阿胶丸,,,《鸡峰》卷十一,,,阿胶1两，人参1两，茯苓1两，百合1两，贝母1两，桔梗1两，五味子1两，山药1两，甘草半两，半夏1分。,上为细末，炼蜜为丸，如弹子大。,,平肺气。,,,,,,,,,,https://db.yaozh.com/fangji/10001075.html
阿胶丸,,,《鸡峰》卷十五,,,阿胶2两，熟地黄2两，牛膝2两，桂2钱，白芍药半两，五味子1两，黄耆1两，白茯苓1两，当归1两，人参1两，牡丹皮1两，芎1两（1方有白术1两）。,上为细末，炼蜜为丸，如梧桐子大。,,生血顺气，出颜色，长肌肤，益筋力。主治气多血少，卫实荣虚，月信过期。,,,,,,,,,,https://db.yaozh.com/fangji/10001076.html
阿胶丸,,,《博济》卷四,,,真阿胶4斤（火炙令热），蛇蜕,上为细末，以软粳米饭为丸，如鸡豆大，如丸时粘手，以少许面为丸。,,大安胎脏。主治产前产后诸疾。,,,,,,,,,,https://db.yaozh.com/fangji/10001077.html
阿胶丸,,,《圣济总录》卷一六一,,,阿胶（炙令燥）半两，乱发灰（别研）半两，代赭（别研）、干姜（炮）1两，马蹄半个（烧令烟尽），生干地黄（焙）1两1分，牛角腮（炙焦）2两。,上为末，炼蜜为丸，如梧桐子大。,,产后恶露不绝，腹痛气急，及产蓐三十六疾。,,,,,,,,,,https://db.yaozh.com/fangji/10001078.html
阿胶丸,,,《惠直堂方》卷四,,,枳壳（麸炒）、阿胶（炒）各等分。,上为末，炼蜜为丸，如梧桐子大，六一散为衣。,,娠妇大便闭。,,,,,,,,,,https://db.yaozh.com/fangji/10001079.html
阿胶五苓散,,,《金鉴》卷四十六,,,五苓散加阿胶。,,,扶气养血，温脬利尿。主治转胞。,,,,,,,,,,https://db.yaozh.com/fangji/10001080.html
阿胶养血汤,,,《中医妇科治疗学》,,,阿胶珠2钱，泡参3钱，干地黄3钱，麦冬2钱，女贞2钱，旱莲草（炒）2钱，桑寄生5钱。,,,养血润燥。主治阴虚血燥，妊娠3-4月，有时头晕目眩，心悸烦躁，腰酸腹胀，大便干燥，舌质红，苔光滑或黄燥，脉细数而滑。,,,,,,,,,,https://db.yaozh.com/fangji/10001081.html
阿胶饮,,,《圣济总录》卷一七八,,,阿胶（炙令燥）1两1分，黄芩（去黑心）1两，黄连（去须）半两。,上为粗末。,,小儿白痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001082.html
阿胶饮,,,《观聚方要补》卷五引《医经会解》,,,桑白皮、麦门冬、黄柏、知母、生地黄、阿胶、归尾。,,,肺咳唾血。,,,,,,,,,,https://db.yaozh.com/fangji/10001083.html
阿胶饮,,,《圣济总录》卷一五四,,,阿胶（炙燥）2两，熟干地黄（焙）2两。,上为粗末。,,妊娠卒胎动，下血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001084.html
阿胶饮,,,《三因》卷十二,,,阿胶2两（炒），牡蛎（煅取粉）4两，鹿茸（切，酥炙）4两。,上锉散。,,小便遗尿不禁。,,,,,,,,,,https://db.yaozh.com/fangji/10001085.html
阿胶饮,,,《圣济总录》卷六十五,,,阿胶（炙燥）1两，人参2两。,上为散。,,久咳嗽。,,,,,,,,,,https://db.yaozh.com/fangji/10001086.html
阿胶饮子,,,《普济方》卷一五九引《圣惠》,,,人参半两，白术半两，当归甘草半两，麦门冬半两，五味子半两，桑白皮半两，茯苓半两，阿胶1两。,上捣筛为饮子。,,荣卫俱虚，久嗽不止，发热自汗，气短怔忪，倦怠食少。,,,,,,,,,,https://db.yaozh.com/fangji/10001087.html
阿胶饮子,,,《圣惠》卷七十四,,,阿胶半两（捣碎，炒令黄燥），竹沥5合，荆沥2合。,上和匀。,,妊娠中风，语涩心烦，项强，背拘急，眼涩头疼，昏昏多睡。,,,,,,,,,,https://db.yaozh.com/fangji/10001088.html
阿胶饮子,,,《外科精要》卷上,,,牛胶（锉，蛤粉炒如珠）1两，粉草1两，橘红5钱。,,,一切痈疽疖毒。,,,,,,,,,,https://db.yaozh.com/fangji/10001089.html
